,messages,time
90,: 整坨東西至少半公斤都手持…很刺激吧," 03/30 22:57
"
91,: 300S在原生焦段下都算給的不錯了," 03/30 22:57
"
92,: 更別提那個近年安卓旗艦開始推的," 03/30 22:59
"
93,: Log錄影不是容量吃很大??," 03/30 22:59
"
94,: 最大1TB夠裝幾十分鐘甚至幾小時的錄影原檔嗎?," 03/30 22:59
"
95,: 演唱會有點讓我吃驚 野生的攝影師可以拍成這樣," 03/30 23:03
"
96,: 不過演唱會的音響效果真的值得一噴 有點爛爛的," 03/30 23:04
"
97,: 看到那些陽具增距組合蠻礙眼," 03/30 23:11
"
98,: 期待Oppo X9 ultra," 03/30 23:12
"
99,: 小白評測的小米表現還不錯," 03/30 23:12
"
100,: Log錄影要看支援的載體，H.264 265就還好，RAW Vid," 03/30 23:13
"
101,: eo就很巨大了," 03/30 23:13
"
102,: https://i.imgur.com/svToLzD.jpeg," 03/30 23:13
"
103,: 以每分鐘1GB算，錄個10小時大概600GB," 03/30 23:13
"
104,: 台版依照慣例先加1萬再給你折扣8千，就瘋狂搶購了," 03/30 23:34
"
105,: 台灣演唱會大多禁止增距鏡。," 03/30 23:34
"
106,: ultra才6600mAh 小白續航比x300pro差 更期待oppo了," 03/30 23:40
"
107,: 12G漲500，16G漲1000人民幣," 03/30 23:50
"
108,: http://i.imgur.com/L8iVGLc.jpg," 03/30 23:50
"
109,: 台灣4月底才出的話 可以等x9u打對台了," 03/30 23:59
"
110,: 台灣有YTber介紹X300U了，不知道是不是台版," 03/31 00:02
"
111,: https://youtu.be/lQ9NITQxBDU," 03/31 00:03
"
112,: 陸版X300U沒有esim，那些狂嘴三星沒有esim的一定會," 03/31 00:04
"
113,: 買台V攝影版吧," 03/31 00:04
"
114,: Log錄影倒是沒有很大，現在比較大的是高通新推要跟," 03/31 00:08
"
115,: 蘋果ProRes競爭的APV，5秒就1G了，8K30 Log錄5秒才1," 03/31 00:08
"
116,: 00MB...," 03/31 00:08
"
117,: 我看X300U攝影版的殼也沒有留外接SSD的位置," 03/31 00:12
"
118,: 買到撞到," 03/31 00:13
"
119,: 重看了一次應該是歐版," 03/31 00:15
"
120,: 5秒1G，錄一個小時就720G了," 03/31 00:16
"
121,: 有便宜吧 沒預期的暴漲," 03/31 00:20
"
122,: S24U就有4K120 Log錄影了，這個APV才是新的，不知道," 03/31 00:23
"
123,: vivo會不會下放4K120 Log給24U同期的X100U," 03/31 00:23
"
124,: 你看影視颶風有沒有吹APV就知道了," 03/31 00:48
"
125,: ProRes在標準化的同時也打通了工作流," 03/31 00:49
"
126,: X300 Pro 16+512，5999人民幣，37990；X300 Ultra," 03/31 00:55
"
127,: 16+512，7999人民幣，台幣怎麼看都是50000起步，這," 03/31 00:55
"
128,: 個價位段約等於17PM+S26U的512GB，最低容量還貴一," 03/31 00:55
"
129,: 截的程度，全台銷售能破千隻就算大勝利。," 03/31 00:55
"
130,: 中國網友指出小白和科技美學的商單評測反而像在給," 03/31 00:57
"
131,: 小米17 Ultra抬轎," 03/31 00:57
"
132,: 7999是人民幣 標題用台幣符號？," 03/31 02:43
"
133,: 標題的貨幣單位改一下吧？," 03/31 04:41
"
134,: 阿？為什麼s24u不下放浮水印 x100u都有多久了," 03/31 04:48
"
135,: 買X300 Pro配400mm就好，X300U 35mm根本難用。," 03/31 04:51
"
136,: 會說某某焦段難用的都是不會拍照的人," 03/31 05:18
"
137,: 35mm最經典的人像焦段…," 03/31 07:04
"
138,: 會用到log錄影的少之又少，我比較關注的是這代軟硬," 03/31 08:12
"
139,: 體進步似乎很有限，小米至少端出了新的萊卡模式," 03/31 08:12
"
140,: 35超好用的好嗎…手機主鏡越做越廣，每次打開都要," 03/31 09:14
"
141,: 先放大," 03/31 09:14
"
142,: 這次軟體都花在新的色彩調教上了，可玩性比之前強," 03/31 09:15
"
143,: 相機介面也小改，硬體就是換兩億主鏡跟加上光譜," 03/31 09:15
"
144,: 我做Photogrammetry建模是用35mm," 03/31 09:17
"
145,: 跟50mm環拍，畫面的物件變形小," 03/31 09:17
"
146,: 拼圖後尺寸能更精確。焦段用途不同," 03/31 09:17
"
147,: 哪有什麼好用難用之說！," 03/31 09:17
"
148,: 第一台兩顆200MP鏡頭處理跟銜接的流暢度還是值得觀," 03/31 09:18
"
149,: 察," 03/31 09:18
"
