4227 中正秋葉原
100台北市中正區八德路一段82巷10號
02-89783142
3625 中正童醫店
100台北市中正區中山南路8號B1
02-23702486
3576 中正光華商場
100台北市中正區市民大道三段8號
02-23913645
5303 中正武昌店
100台北市中正區武昌街一段45號1樓
02-23122690
4898 中正大忠門
100台北市中正區信義路一段13之1號一樓
02-23224614
2457 中正正泉店
100台北市中正區泉州街31、33號、寧波西街104號一樓
02-23394186
2284 中正台大醫
100台北市中正區常德街1號
02-23112155
3936 中正台醫B1
100台北市中正區常德街1號B1
02-23146218
4096 中正善導寺站
100台北市中正區梅花里８鄰忠孝東路一段３５號一樓全部
02-89781634
2895 中正紹興南
100台北市中正區紹興南街4之12號
02-23224009
4321 中正高院店
100台北市中正區博愛路127號
02-89780854
3768 中正司法店
100台北市中正區博愛路131號B1
02-23704188
3611 中正西門站
100台北市中正區衡陽路103號
02-23705461
5183 中正懷寧店
100台北市中正區懷寧街21號
02-23115483
""
""
""
5510 大同雙連站
103台北市大同區民生西路47號地下１樓
02-25427013
2845 北市同京店
103台北市大同區西寧北路35號
02-25593676
3633 大同延三夜市
103台北市大同區延平北路3段40號
02-25995907
2792 大同同達店
103台北市大同區延平北路二段114.116.118號及民生西路335號
02-25504097
D010 大同大橋頭
103台北市大同區延平北路二段255-1號
02-25575754
4232 大同保安店
103台北市大同區承德路三段284及286號
02-89782049
2389 大同昌吉店
103台北市大同區昌吉街63號
02-25994526
3088 大同中山站
103台北市大同區南京西路30號
02-25553142
3570 北市雙蝶店
103台北市大同區南京西路64巷9弄2號
02-25592638
2707 大同哈密店
103台北市大同區哈密街59巷21號
02-25963370
3685 北市京承店
103台北市大同區建明里市民大道１段209號（國道客運京站購物廣場3樓）
02-25526312
3683 北市京站店
103台北市大同區建明里承德路一段1號1樓
02-25526735
3686 大同圓山站
103台北市大同區酒泉街15號
02-25958123
""
""
""
B044 北市中山店
104台北市中山區中山北路二段137巷2號
02-25643046
4472 中山逸仙店
104台北市中山區中山北路二段48巷7號B1(4號店鋪)
02-89796765
4728 中山國賓店
104台北市中山區中山北路二段65巷6號1、2樓
02-25620236
4957 中山美妍店
104台北市中山區中山北路二段93巷5及5-1號
02-25678334
3225 北市大同店
104台北市中山區中山北路三段40號
02-25956355
5538 圓山大飯店
104台北市中山區中山北路四段1號(販賣部)
02-28851864
5346 中山三條通
104台北市中山區天津街30號1樓及2樓、中山北路一段53巷16之1號1樓及2樓
02-25417312
3449 中山天祥店(暫歇中)
104台北市中山區天祥路70號
02-25315352
B876 北市馬偕店
104台北市中山區民生西路3巷2號
02-25118262
4931 中山合江店
104台北市中山區合江街61巷1號1樓全部
02-25179827
5424 中山朱崙店
104台北市中山區朱崙街60號1樓
02-27500084
4883 中山八達店
104台北市中山區林森北路107巷86號1樓全部
02-25427475
4647 中山晶華店
104台北市中山區林森北路258號
02-25230955
5208 中山金萊萊
104台北市中山區松江路330巷33號一樓
02-25413341
L518 車麗屋松江店
104台北市中山區松江路550號
02-89795058
4870 中山四通店
104台北市中山區長安東路一段53巷1之6號
02-25816329
2407 中山遼寧夜市
104台北市中山區長安東路二段171-7號
02-27775377
5449 中山望雲霓
104台北市中山區南京東路三段91-1號1樓
02-25069763
4752 中山錦東店
104台北市中山區錦州街32之1號及32之2號
02-25210096
5566 中山錦州店
104台北市中山區錦州街452號1樓及地下室
02-25092346
4551 中山榮耀店
104台北市中山區龍江路333號及331巷1號
02-25019936
4640 中山力行店
104台北市中山區龍江路47號
02-27753327
""
""
""
B156 松山敦化公園
105台北市松山區八德路三段12巷51弄2號
02-25792957
5463 松山朱槿花
105台北市松山區八德路四段245巷35號1樓及地下室
02-27493501
5260 松山民生東
105台北市松山區民生東路三段113巷6弄19號一樓、復興北路313巷6號
02-25452807
B157 松山民權大橋
105台北市松山區民權東路五段32號
02-27609238
5594 松山松指部
105台北市松山區民權東路四段121號
02-25452717
3536 松山博仁店
105台北市松山區光復北路102號
02-25785314
4519 松山無雙店
105台北市松山區光復南路13巷16號
02-27470322
3395 松山松清店
105台北市松山區南京東路5段250巷3-1號
02-27494696
3656 松山東光店
105台北市松山區南京東路5段61號及63號
02-37655520
4668 松山京東店
105台北市松山區南京東路五段123巷33號
02-27616075
4865 松山新聚店
105台北市松山區南京東路五段250巷18弄20、20之1號
02-27484010
5554 松山南京東
105台北市松山區南京東路五段285及287號1樓
02-27472807
2451 松山吉祥店
105台北市松山區南京東路五段34號
02-27656346
2506 松山西松高
105台北市松山區健康路325巷12弄2號
02-87871371
5335 松山民有店
105台北市松山區敦化北路222巷50、52及54號1樓及地下室
02-25472503
4234 松山樸實樓
105台北市松山區寧安街12號(育達高職樸實樓一樓107教室)
02-89783164
3731 松山家聲店
105台北市松山區寧安街12號(家聲紀念大樓B1)
02-25794318
2690 松山撫遠公園
105台北市松山區撫遠街369巷36號
02-27467477
4740 松山撫遠店
105台北市松山區撫遠街394巷1號、3號
02-27560075
2169 松山饒河夜市
105台北市松山區饒河街35號
02-87870373
""
""
""
5012 大安地下街
106台北市大安區大安路一段77號地下街4-1、4-2店舖
02-87720614
5130 大安仁醫店
106台北市大安區仁愛路四段10號B1
02-23257531
4177 大安安居店
106台北市大安區安居街15號
02-89786747
4473 大安學霸店
106台北市大安區辛亥路三段30號(研三宿舍)
02-89781508
2479 大安華視店
106台北市大安區延吉街131巷43號
02-87721026
5426 大安忠孝東
106台北市大安區忠孝東路四段219號1樓
02-87719874
2001 大安杭州南
106台北市大安區杭州南路二段5號
02-23579306
5006 大安勵學店
106台北市大安區長興街92號1樓(台大男七宿舍)
02-27375015
5214 大安金杭店
106台北市大安區信義路二段44巷10弄1號一樓
02-23973092
2639 大安郵局店
106台北市大安區建國南路一段337號
02-27035357
4513 大安人生店
106台北市大安區基隆路三段155巷57號(臺大癌醫中心醫院)
02-89794956
4803 大安台科大店
106台北市大安區基隆路四段43號(第一學生宿舍1樓B區)
02-23770237
3979 大安龍陣店
106台北市大安區復興南路2段148號1樓全部
02-89783502
2421 大安首購店
106台北市大安區復興南路一段135巷21號
02-27775060
4772 大安臨江店
106台北市大安區臨江街36、38號一樓
02-27323474
2182 大安古亭站
106台北市大安區羅斯福路二段75之1號
02-23646860
4633 大安溫州店
106台北市大安區羅斯福路三段283巷11號一樓
02-23651171
4726 大安新台大店
106台北市大安區羅斯福路四段1號
02-23620819
""
""
""
5397 萬華南機場
108台北市萬華區中華路二段448、450號
02-23070027
4812 萬華內江店
108台北市萬華區內江街126、128號一樓
02-23753201
4226 萬華民和店
108台北市萬華區民和街10及12號
02-89783813
5516 萬華西昌店
108台北市萬華區西昌街128、130號一樓
02-23122287
4249 萬華龍山店
108台北市萬華區西園路一段170號
02-89781042
3908 萬華萬鑫店
108台北市萬華區西園路二段134、136、138號
02-23083401
5174 萬華西園店
108台北市萬華區西園路二段261巷29號、寶興街80巷49號
02-23396345
E968 萬華獅子林
"108台北市萬華區西寧南路36之69,71.72.73.74號"
02-23120222
5432 萬華東園店
108台北市萬華區東園街142號
02-23052489
3497 萬華長沙店
108台北市萬華區長沙街二段50號
02-89783407
E119 萬華梧州店
108台北市萬華區梧州街29號
02-23367542
3761 萬華三水店
108台北市萬華區梧州街55號
02-23369605
5591 萬華萬大店
108台北市萬華區萬大路423巷12號1樓及地下室後段
02-23054920
4159 萬華廣州店
108台北市萬華區廣州街247號
02-89787245
4082 萬華德昌店
108台北市萬華區德昌街241、243、245號
02-89782941
4461 萬華環州店
108台北市萬華區環河南路二段96號1樓及2樓全部，98號1樓部份
02-89782411
3597 萬華雙園店
108台北市萬華區雙園街69號
02-23063482
""
""
""
4556 信義首府店
110台北市信義區市府路1號(B2便利生活空間)
02-89782053
2729 信義吉隆店
110台北市信義區永吉路125號一樓
02-27618097
5018 信義永吉店
110台北市信義區永吉路278巷27弄34、36號
02-27560923
B643 信義柳中園
110台北市信義區永吉路280號
02-27484607
5487 信義吳興店
110台北市信義區吳興街388號、390號
02-27203117
5518 信義和平東
110台北市信義區和平東路三段355號1樓及地下室
02-27327839
5356 信義樂萬店
110台北市信義區忠孝東路五段423巷9號、11號、13號1樓及2樓
02-27564792
5380 信義野牡丹
110台北市信義區忠孝東路五段524巷1弄1、1-1號一樓
02-23463935
5229 信義市府站
110台北市信義區忠孝東路五段63號1樓
02-87682165
B056 信義松德市場
110台北市信義區林口街36號
02-27263600
3301 信義腰花店
110台北市信義區松山路537號及541巷1號
02-27598941
2638 信義中全公園
110台北市信義區虎林街164巷60弄2號一樓
02-87895535
4850 信義虎林店
110台北市信義區虎林街242巷50號、52號
02-23462612
2782 信義興隆店
"110台北市信義區基隆路一段350之41,43號一樓"
02-87884749
5419 信義三張犁
110台北市信義區莊敬路393號
02-27204533
4934 信義福德店
110台北市信義區福德街268巷18號、268巷4弄1號
02-27278803
""
""
""
3471 士林夜市店
111台北市士林區大東路7號
02-28835400
3062 北市士銓店
111台北市士林區中山北路七段186號
02-28716933
5147 士林一號店
111台北市士林區中山北路五段65號
02-28837936
5517 士林天母北
111台北市士林區天母北路37號
02-28740750
5337 士林天玉店
111台北市士林區天玉街34號1樓
02-28726142
5321 士林戲曲中心
111台北市士林區文林路760號一樓
02-28345703
5304 士林芝山岩
111台北市士林區至誠路一段30號一樓以及一樓地下室
02-28380431
3509 北市士海店
111台北市士林區延平北路9段212號
02-28106275
D043 士林葫蘆堵
111台北市士林區延平北路五段138號
02-28163391
4972 士林通河店
111台北市士林區承德路四段12巷35號
02-28854012
4683 士林大宮町店
111台北市士林區承德路四段130號及後港街37號
02-28852215
4884 士林承德店
111台北市士林區承德路四段80巷57號、劍潭路62號一樓全部(含地下室)
02-28855016
A753 北市開利店
"111台北市士林區社子街142,144號"
02-28161982
A163 士林社子店(暫歇中)
111台北市士林區社子街63巷2號
02-28161783
A067 士林社子市場
111台北市士林區社正路27號
02-28163841
4878 士林陽明店
111台北市士林區雨聲街105號
02-28310170
5603 士林美崙店
111台北市士林區美崙街88號1樓
-
4418 士林花好店(暫歇中)
111台北市士林區重慶北路四段78號及80號
02-89781500
5403 士林基河店
111台北市士林區基河路238-1號1樓
02-28831646
5396 士林福林店
111台北市士林區福林路237號1樓及235號B1
02-28310969
4574 士林月圓店
111台北市士林區磺溪街23號一樓全部
02-89782387
""
""
""
5182 北投捷運園區
112台北市北投區大業路527巷88號
02-28910404
4313 北投地熱谷
112台北市北投區中山路28之5、28之6號地下二層
02-89781541
2528 北投北天店
112台北市北投區中央北路4段8號
02-28923340
3630 北市政戰店
112台北市北投區中央北路二段70號
02-28942939
2673 北投北崗店
112台北市北投區中央北路三段４４、４６號
02-28953924
3707 北投奇岩站
112台北市北投區中央南路二段5號及7號
02-28923112
4498 北投希望店
112台北市北投區中和街399-5 399-6號
02-89781505
4643 北投火山店
112台北市北投區中和街504號及中和街506號、508號
02-28910821
4956 北投立農店
112台北市北投區立農街二段292、294號及義理街96號
02-28211507
3118 北市北功店
112台北市北投區立德路60號及立功街135號
02-28585242
4561 北投行義店
112台北市北投區行義路128-1號
02-89782386
4124 北投紗帽店
112台北市北投區行義路142-1及142-3號B1
02-89782704
3034 北投關渡店
112台北市北投區知行路314號、316巷2號
02-28586942
3969 北投北清店
112台北市北投區清江路53及55號
02-89783776
3607 北市北裕店
112台北市北投區裕民六路120號
02-28217059
5026 北投北藝大
112台北市北投區學園路1號
02-28948090
4468 北投北戰店
112台北市北投區學園路2號(行政大樓)
02-89796027
3257 北市北武店
112台北市北投區學園路2號(飲和樓)
02-28956952
A186 北投懷德店
112台北市北投區懷德街5號
02-28235999
""
""
""
4161 內湖湖月店
114台北市內湖區大湖山莊街179號1樓
02-89786741
3870 內湖米蘭店
114台北市內湖區內湖路一段120巷16號一樓全部
02-26598412
L505 車麗屋內湖店
114台北市內湖區內湖路一段366號
02-87513868
4211 內湖文湖店
114台北市內湖區文湖街21巷26、28號1樓
02-89783044
4592 內湖紫陽店
114台北市內湖區文德路210巷30弄6、8、10號一樓
02-89798143
2132 內湖葫洲店
114台北市內湖區民權東路6段296巷68號
02-26348091
2020 內湖三總店
114台北市內湖區民權東路六段123巷30、32號
02-87925579
4103 內湖國防店
114台北市內湖區民權東路六段１６１號
02-89781053
2397 內湖中時店
114台北市內湖區民權東路六段58號
02-27944884
A318 內湖郵局店
"114台北市內湖區民權東路六段69,71,75號"
02-27931697
4935 內湖安泰店
114台北市內湖區安泰街31號一樓
02-26338768
4754 內湖安康店
114台北市內湖區安康路142號一樓
02-27960223
A708 內湖成功二
114台北市內湖區成功路二段318之1號
02-27919115
L506 車麗屋行忠店
114台北市內湖區行忠路67號
02-89794999
A896 內湖行善店
114台北市內湖區行善路33及31號
02-87901427
2006 內湖金湖店
114台北市內湖區金湖路403號
02-26319106
4097 內湖金龍店
114台北市內湖區金龍路64、66號壹樓全部
02-89782940
4644 內湖樂康店
114台北市內湖區康樂街136巷18弄1號1樓
02-26340246
A311 內湖康樂二
114台北市內湖區康樂街92號
02-26311791
2190 內湖陽光店
114台北市內湖區陽光街347號
02-26277131
4158 內湖新明店
114台北市內湖區新明路241、241-1號
02-89786745
4851 內湖愛湖店
114台北市內湖區新湖二路259巷6號一樓全部
02-27900281
5268 內湖安捷店
114台北市內湖區新湖三路255號1樓
02-87925905
4160 內湖花市店
114台北市內湖區新湖三路36號1樓
02-89787470
5081 內湖光寶店
114台北市內湖區瑞光路392號1樓
02-87515316
3750 內湖湖鑽店
114台北市內湖區瑞光路５０２號１樓
02-26599739
2233 內湖亞企店
114台北市內湖區瑞光路66巷33號
02-87919161
3206 內湖湖潤店
114台北市內湖區舊宗路一段188號
02-89783779
""
""
""
5288 南港軟體園區
115台北市南港區三重路19之10號
02-26551918
2569 南港中坡北
115台北市南港區中坡北路50巷1號
02-26518849
5367 南港後山埤站
115台北市南港區永吉路555號1樓
02-27851392
B378 南港玉成店
115台北市南港區玉成街27號
02-27856397
3995 南港合樂店
115台北市南港區玉成街52巷2弄3號1樓全部、5號1樓
02-89783865
4914 南港合心店
115台北市南港區玉成街82號一樓
02-27833861
3340 南港聯醫忠孝
115台北市南港區同德路87號
02-27829523
4838 南港成福店
115台北市南港區成福路38號、40號一樓
02-26538697
B011 南港忠研店
115台北市南港區忠孝東路七段639號
02-27838896
4945 南港聯成店
115台北市南港區忠孝東路六段254號一樓
02-26539603
B344 南港昆陽店
115台北市南港區昆陽街99號
02-26537383
2597 南港興華店
"115台北市南港區南港路二段2,4號"
02-26537916
4657 南港慈祐宮店
115台北市南港區南港路三段358、360號一樓
02-26510147
5325 南港生技園區
115台北市南港區研究院路一段130巷99號C棟1樓C106室
02-26533329
3748 南港中研院
115台北市南港區研究院路二段110號一樓
02-26519272
4383 南港園區店
115台北市南港區重陽路472號一樓
02-89789310
3629 南港舊莊店
115台北市南港區舊莊街一段212巷2號一樓全部
02-26518142
""
""
""
4617 文山心動店
116台北市文山區木柵路一段168、170號
02-89787498
4973 文山日出店
116台北市文山區木柵路二段4號
02-89782125
4527 文山大王店
116台北市文山區木新路二段141、143號
02-29391029
C055 文山木新二
116台北市文山區木新路三段232巷6弄18號
02-29376642
5398 文山仙岩店
116台北市文山區仙岩路32、36號1樓
02-29336476
5023 文山師大店
116台北市文山區汀州路四段88號
02-86639916
5220 文山景文店
116台北市文山區保儀路127號
02-29398766
2175 文山指南店
116台北市文山區指南路二段32號
02-86615448
3966 文山政學店
116台北市文山區指南路二段64號(自強十舍)
02-89782091
3951 文山貓空店
116台北市文山區指南路三段38巷35號
02-22346497
4958 文山景興店
116台北市文山區景興路10巷2號1樓
02-29303756
3760 文山小貓熊
116台北市文山區新光路二段30號
02-29368675
2133 文山試院店
116台北市文山區試院路104號
02-22364780
5425 文山樟新店
116台北市文山區樟新街26號1樓
02-29376849
2419 文山萬隆站
116台北市文山區羅斯福路五段203號
02-89315646
""
""
""
3128 基隆仁五店
200基隆市仁愛區仁五路35號一樓
02-24211387
4554 基隆港西店
200基隆市仁愛區港西街11號一樓
02-89782606
2666 基隆旭隆店
200基隆市仁愛區精一路1號
02-24285227
""
""
""
4813 基隆微笑店
201基隆市信義區孝東路92號地下一層之9
02-24650189
4475 基隆風雲店
201基隆市信義區東光路30之4號、30之5號
02-89796117
""
""
""
L504 車麗屋基隆店
202基隆市中正區中正路58號
02-24260119
5292 基隆海豔店
202基隆市中正區新豐街86號1樓
02-24697940
5583 基隆調和店
202基隆市中正區調和街306號
-
""
""
""
4892 基隆武林店
204基隆市安樂區武嶺街302、304、306號
02-24335176
""
""
""
3643 基隆隆碇店
205基隆市暖暖區源遠路243號一樓全部
02-24596245
""
""
""
4702 基隆家鄉店
206基隆市七堵區百七街72、74號一樓
02-24520832
3398 基隆百福店
"206基隆市七堵區百五街43號,福二街206號"
02-24529092
4273 基隆七堵店
206基隆市七堵區實踐路182號1樓
02-89781324
""
""
""
2267 北縣金陽店
208新北市金山區中正路26號
02-24081448
4906 金山銀山店
208新北市金山區仁愛路66、68號
02-24984412
""
""
""
2422 北縣板億店
220新北市板橋區大觀路3段160巷31弄1號
02-26870839
D609 板橋大興店
220新北市板橋區大觀路二段142之2號
02-29603265
L501 車麗屋板橋店
220新北市板橋區中山路一段279號
02-89535377
3183 板橋板好店
220新北市板橋區中正路341巷37號
02-89682040
3853 板橋互助店
220新北市板橋區互助街48號一樓全部及50號一樓及地下室全部
02-22584769
3962 板橋仁化店
220新北市板橋區仁化街186號一樓全部
02-89783335
2069 板橋江子翠站
220新北市板橋區文化路二段408號
02-22539385
D767 板橋寶翠店
220新北市板橋區文化路二段439之1號
02-22562057
2224 板橋莒光店
220新北市板橋區文化路二段78號
02-22537956
3752 板橋豫章店
220新北市板橋區四川路一段391號1F
02-29554332
3977 板橋玉川店
220新北市板橋區四川路一段483一樓、485號一、二、三樓
02-89783501
5384 板橋民生站
220新北市板橋區民生路三段68-1號1樓
02-22541308
3965 板橋民治店
220新北市板橋區民治街57巷2號、59號
02-89782441
3551 板橋板豐店
220新北市板橋區永豐街51-1.51-2號一樓全部
02-29545105
4422 板橋合安店
220新北市板橋區合安一路61號一樓全部
02-89789286
4680 板橋江寧店
220新北市板橋區江寧路三段49、51號一樓
02-22522325
D072 板橋僑福店
220新北市板橋區幸褔路70巷1號
02-22590856
D111 板橋府中店
220新北市板橋區府中路22、24號
02-22722034
3818 板橋漢江店
220新北市板橋區長江路2段2號一樓
02-22549655
2995 板橋湳雅夜市
220新北市板橋區南雅東路100巷3號一樓
02-29693681
D349 板橋成都店
220新北市板橋區重慶路245巷61號
02-29511286
3416 板橋國慶店
220新北市板橋區國慶路180號
02-29514481
2154 板橋板莊店
220新北市板橋區莊敬路248號
02-22542301
4406 板橋稚暉店
220新北市板橋區貴興路89號、91號一樓
02-89782607
3955 板橋海龍店
220新北市板橋區新海路393、395號一樓全部
02-22583642
4046 板橋福康店
220新北市板橋區僑中一街124巷11弄1、3號一樓全部
02-89785452
D161 板橋僑中三
220新北市板橋區僑中一街125巷8弄2號
02-29663657
4145 板橋僑興店
220新北市板橋區僑中二街104巷1、3號一樓部份
02-89786792
4917 板橋翠華店
220新北市板橋區翠華街6巷1號1樓
02-29559476
5496 新北市民廣場
220新北市板橋區縣民大道二段22號B1
02-29642129
2403 板橋板龍店
220新北市板橋區龍興街73巷2、4號1樓
02-22725923
2221 板橋雙十店
220新北市板橋區雙十路三段12、14、16號
02-22524845
2746 板橋板嘉店
220新北市板橋區雙十路三段29號
02-22591727
5451 板橋懷仁店
220新北市板橋區懷仁街17、19、21號一樓
02-29570407
4983 板橋藝文店
220新北市板橋區藝文街171號一樓
02-29689211
""
""
""
5468 汐止蘭亭序
221新北市汐止區汐萬路一段203號一樓
02-26919783
4837 汐止夢湖店
221新北市汐止區汐萬路三段246號1樓
02-26461165
2912 汐止瓏山林
221新北市汐止區忠三街19號
02-26903671
2312 汐止保一店
221新北市汐止區保一街41號
02-86481336
5366 汐止亞太科
221新北市汐止區保長路422號1樓
02-86487438
2189 汐止南陽大橋
221新北市汐止區南陽街261號
02-26942276
4663 汐止南興店
221新北市汐止區南興路58號1樓
02-26410297
3822 北縣遠科店
221新北市汐止區新台五路一段75號B1
02-89781623
3788 北縣汐科店
221新北市汐止區新台五路一段94號一樓(東方科學園區)
02-26969845
2642 汐止北峰店
221新北市汐止區福德一路270號
02-86933851
A299 汐止宏福店
"221新北市汐止區福德一路6,10號"
02-26949238
4512 汐止思鄉店
221新北市汐止區樟樹一路153號
02-89794958
4950 汐止早安店
221新北市汐止區樟樹二路289、291號一樓
02-89796225
""
""
""
5040 深坑東南大
222新北市深坑區北深路三段152號
02-26629037
""
""
""
4308 石碇華梵店
223新北市石碇區華梵路1號
02-89783840
2292 石碇老街店
223新北市石碇區碇坪路一段130號1樓
02-26634141
""
""
""
5091 瑞芳水湳洞
224新北市瑞芳區洞頂路210之4號
02-24961459
